,Country Name,Country Code,2023 Life Expectancy,GDP
0,Angola,AGO,61.929,84.72295764
1,Albania,ALB,76.833,22.97767786
2,Arab World,ARB,71.22727445,3490
3,United Arab Emirates,ARE,79.196,504
4,Argentina,ARG,76.064,641
5,Armenia,ARM,73.372,24.21213463
6,Antigua and Barbuda,ATG,79.236,2.033085185
7,Australia,AUS,83.2,1720
8,Austria,AUT,81.09268293,516
9,Azerbaijan,AZE,73.488,72.35617647
10,Burundi,BDI,61.977,2.642161669
11,Belgium,BEL,81.69756098,632
12,Benin,BEN,59.954,19.67328469
13,Burkina Faso,BFA,59.766,20.32461784
14,Bangladesh,BGD,73.698,437
15,Bulgaria,BGR,74.36097561,102
16,Bahrain,BHR,79.246,43.205
17,"Bahamas, The",BHS,74.358,14.3385
18,Bosnia and Herzegovina,BIH,75.293,27.05488936
19,Belarus,BLR,73.11146341,71.85738275
20,Belize,BLZ,70.962,3.2815
21,Bolivia,BOL,64.928,45.84983291
22,Brazil,BRA,73.425,2170
23,Barbados,BRB,77.706,6.39356419
24,Brunei Darussalam,BRN,74.551,15.12829295
25,Botswana,BWA,65.913,19.39576513
26,Central African Republic,CAF,54.477,2.555492085
27,Canada,CAN,81.29560976,2140
28,Central Europe and the Baltics,CEB,76.79008321,2250
29,Switzerland,CHE,83.45365854,885
30,Chile,CHL,79.519,336
31,China,CHN,78.587,17800
32,Cote d'Ivoire,CIV,58.916,78.78882891
33,Cameroon,CMR,60.958,47.94551009
34,"Congo, Dem. Rep.",COD,59.743,66.383287
35,"Congo, Rep.",COG,63.053,15.32105582
36,Colombia,COL,73.659,364
37,Comoros,COM,63.68,1.352380972
38,Cabo Verde,CPV,74.722,2.587252076
39,Costa Rica,CRI,77.32,86.49794144
40,Caribbean small states,CSS,71.03467709,53.25263767
41,Cyprus,CYP,81.889,32.22962267
42,Czechia,CZE,79.02926829,331
43,Germany,DEU,80.70560976,4460
44,Djibouti,DJI,62.859,4.098530514
45,Dominica,DMA,72.981,0.653992593
46,Denmark,DNK,81.30487805,404
47,Dominican Republic,DOM,74.17,121
48,Algeria,DZA,77.129,240
51,Ecuador,ECU,77.894,119
52,"Egypt, Arab Rep.",EGY,70.159,396
53,Spain,ESP,83.08292683,1580
54,Estonia,EST,77.94390244,40.74484883
55,Ethiopia,ETH,65.645,164
56,Finland,FIN,81.18780488,300
57,Fiji,FJI,68.312,5.494797541
58,France,FRA,82.22926829,3030
59,"Micronesia, Fed. Sts.",FSM,70.925,0.46
60,Gabon,GAB,65.694,20.51613439
61,United Kingdom,GBR,82.05853659,3340
62,Georgia,GEO,71.587,30.53553048
63,Ghana,GHA,63.945,76.37039441
64,Guinea,GIN,58.985,23.61229582
65,"Gambia, The",GMB,62.906,2.339904157
66,Guinea-Bissau,GNB,59.861,1.9664614
67,Equatorial Guinea,GNQ,61.19,12.11692254
68,Greece,GRC,80.63658537,238
69,Grenada,GRD,75.335,1.320334236
70,Guatemala,GTM,68.674,102
71,Guyana,GUY,65.989,16.78630216
72,"Hong Kong SAR, China",HKG,83.66097561,382
73,Honduras,HND,70.728,34.40050985
74,Croatia,HRV,77.57560976,82.68884272
75,Haiti,HTI,63.728,19.85082976
76,Hungary,HUN,76.01707317,212
77,Indonesia,IDN,68.25,1370
78,India,IND,67.744,3550
79,Ireland,IRL,83.05609756,546
80,"Iran, Islamic Rep.",IRN,74.556,402
81,Iraq,IRQ,71.336,251
82,Iceland,ISL,82.17073171,31.02003258
83,Israel,ISR,82.7,510
84,Italy,ITA,82.9,2250
85,Jamaica,JAM,70.629,19.42335537
86,Jordan,JOR,74.215,50.81364235
87,Japan,JPN,83.99634146,4210
88,Kazakhstan,KAZ,74.44,261
89,Kenya,KEN,62.055,107
90,Kyrgyz Republic,KGZ,72.04878049,13.98762791
91,Cambodia,KHM,69.896,31.77276
92,Kiribati,KIR,67.661,0.279034355
93,St. Kitts and Nevis,KNA,72.027,1.077033111
94,"Korea, Rep.",KOR,82.6804878,1710
95,Kuwait,KWT,80.264,162
97,Lao PDR,LAO,68.999,15.84315573
98,Liberia,LBR,61.1,4.332
99,Libya,LBY,72.151,50.49172245
100,St. Lucia,LCA,71.294,2.519925939
103,Sri Lanka,LKA,76.61,84.35686042
106,Lesotho,LSO,53.036,2.046039024
108,Lithuania,LTU,75.79268293,77.83639696
109,Luxembourg,LUX,83.04634146,85.75500612
110,Latvia,LVA,74.5804878,43.62707848
111,"Macao SAR, China",MAC,85.377,47.06184372
112,Morocco,MAR,74.973,141
113,Moldova,MDA,68.621,16.53943655
114,Madagascar,MDG,65.23,16.03170292
115,Maldives,MDV,80.839,6.6
116,Mexico,MEX,74.832,1790
117,Marshall Islands,MHL,65.146,0.284
119,North Macedonia,MKD,74.42487805,14.76123704
120,Mali,MLI,59.417,20.9048983
121,Malta,MLT,82.7,20.95699945
122,Myanmar,MMR,67.256,64.81503167
124,Montenegro,MNE,76.18780488,7.404541965
125,Mongolia,MNG,72.667,19.87218037
126,Mozambique,MOZ,59.625,20.62459785
127,Mauritania,MRT,64.691,10.45257706
128,Mauritius,MUS,73.51463415,14.39712728
129,Malawi,MWI,62.898,14.08434106
130,Malaysia,MYS,76.26,400
131,Namibia,NAM,58.059,12.35102484
132,Niger,NER,62.08,16.81917042
133,Nigeria,NGA,53.633,363
134,Nicaragua,NIC,74.615,17.82921528
135,Netherlands,NLD,81.71463415,1120
136,Norway,NOR,82.56097561,486
137,Nepal,NPL,70.484,40.90807337
138,Nauru,NRU,64.014,0.154127798
139,New Zealand,NZL,82.76097561,253
140,Oman,OMN,73.935,108
141,Pakistan,PAK,66.431,338
142,Panama,PAN,76.826,83.3824
143,Peru,PER,73.385,268
144,Philippines,PHL,72.187,437
145,Papua New Guinea,PNG,65.958,30.93249625
146,Poland,POL,77.30487805,811
147,Puerto Rico,PRI,79.72,118
148,Portugal,PRT,81.5804878,287
149,Paraguay,PRY,70.475,42.95626354
150,West Bank and Gaza,PSE,73.444,17.3963
151,Romania,ROU,75.30487805,351
152,Russian Federation,RUS,72.54560976,2020
153,Rwanda,RWA,67.129,14.09776865
154,Saudi Arabia,SAU,77.905,1070
155,Sudan,SDN,65.578,109
156,Senegal,SEN,67.913,31.01398643
157,Singapore,SGP,82.89512195,501
158,Solomon Islands,SLB,70.742,1.631286701
159,Sierra Leone,SLE,60.411,3.809832237
160,El Salvador,SLV,71.475,34.01562
161,Somalia,SOM,56.107,11.67980011
162,Serbia,SRB,75.48219512,75.18712543
164,Sao Tome and Principe,STP,68.794,0.603240749
165,Suriname,SUR,70.289,3.782437296
166,Slovak Republic,SVK,77.06585366,133
167,Slovenia,SVN,81.28292683,68.21678141
168,Sweden,SWE,83.1097561,593
169,Eswatini,SWZ,56.36,4.597855845
170,Sint Maarten (Dutch part),SXM,74.409,1.623165683
171,Seychelles,SYC,73.84878049,2.141450171
172,Turks and Caicos Islands,TCA,74.925,1.402054391
173,Chad,TCD,52.997,13.14932536
176,Togo,TGO,61.588,9.171261835
177,Thailand,THA,79.68,515
178,Tajikistan,TJK,71.288,12.06060201
179,Turkmenistan,TKM,69.41,59.88733484
181,Timor-Leste,TLS,69.056,2.243142908
185,Trinidad and Tobago,TTO,74.708,28.13994479
186,Tunisia,TUN,74.263,48.52959542
187,Turkiye,TUR,78.475,1110
188,Tuvalu,TUV,64.854,0.062280312
189,Tanzania,TZA,66.782,79.15828633
190,Uganda,UGA,63.638,49.27288221
191,Ukraine,UKR,68.58792683,179
193,Uruguay,URY,78,77.24083159
194,United States,USA,77.43414634,27400
195,Uzbekistan,UZB,71.674,90.88914931
196,St. Vincent and the Grenadines,VCT,68.972,1.065962963
197,Viet Nam,VNM,74.58,430
198,Vanuatu,VUT,70.492,1.126313359
199,Samoa,WSM,72.598,0.934100336
200,Kosovo,XKX,79.524,10.43835148
201,South Africa,ZAF,61.48,378
202,Zambia,ZMB,61.803,28.16263095
203,Zimbabwe,ZWE,59.391,26.5382735
