Year,Region,GDP
1990,Africa,39614.1677
1990,Americas,139282.403
1990,Asia,60129.303400000004
1990,Europe,257430.226
1990,Oceania,69693.6433
1991,Africa,38920.3649
1991,Americas,139467.3935
1991,Asia,62850.2903
1991,Europe,258647.642
1991,Oceania,67491.5857
1992,Africa,38305.3907
1992,Americas,142223.3333
1992,Asia,64569.2692
1992,Europe,256699.36000000002
1992,Oceania,68042.2583
1993,Africa,37703.2938
1993,Americas,145883.872
1993,Asia,65812.2576
1993,Europe,253450.176
1993,Oceania,70973.4172
1994,Africa,37946.6403
1994,Americas,151050.5715
1994,Asia,68189.9225
1994,Europe,257238.728
1994,Oceania,73422.06599999999
1995,Africa,38111.7002
1995,Americas,151954.172
1995,Asia,71426.7649
1995,Europe,262349.22000000003
1995,Oceania,75152.41500000001
1996,Africa,39395.390830000004
1996,Americas,155566.883
1996,Asia,74688.0383
1996,Europe,266011.622
1996,Oceania,77121.0948
1997,Africa,39530.828199999996
1997,Americas,161745.04450000002
1997,Asia,76591.56880000001
1997,Europe,273385.303
1997,Oceania,77721.6297
1998,Africa,40260.157640000005
1998,Americas,165693.4936
1998,Asia,74405.70939999999
1998,Europe,280922.68299999996
1998,Oceania,78731.0748
1999,Africa,40818.855800000005
1999,Americas,167437.433
1999,Asia,76793.4893
1999,Europe,289980.338
1999,Oceania,82221.22499999999
2000,Africa,41763.42616
2000,Americas,171868.62300000002
2000,Asia,80227.27819999999
2000,Europe,301728.185
2000,Oceania,83517.4637
2001,Africa,42693.926999999996
2001,Americas,171053.671
2001,Asia,81944.94600000001
2001,Europe,307672.21900000004
2001,Oceania,84694.4815
2002,Africa,43836.9355
2002,Americas,170696.3053
2002,Asia,84363.8205
2002,Europe,310081.9
2002,Oceania,86860.32400000001
2003,Africa,45113.34615
2003,Americas,174178.1407
2003,Asia,86662.198
2003,Europe,313060.939
2003,Oceania,88517.2042
2004,Africa,46583.880900000004
2004,Americas,180384.9235
2004,Asia,90080.7107
2004,Europe,319797.351
2004,Oceania,91083.635
2005,Africa,48230.21116
2005,Americas,186028.836
2005,Asia,93467.6714
2005,Europe,325466.66
2005,Oceania,92738.4325
2006,Africa,50004.102360000004
2006,Americas,192029.28
2006,Asia,97026.5898
2006,Europe,335368.262
2006,Oceania,94056.176
2007,Africa,51720.4822
2007,Americas,197506.6805
2007,Asia,101074.78259999999
2007,Europe,344411.358
2007,Oceania,95634.2742
2008,Africa,53151.471300000005
2008,Americas,199669.166
2008,Asia,102696.08
2008,Europe,344949.67
2008,Oceania,95450.051
2009,Africa,53549.4795
2009,Americas,192300.84399999998
2009,Asia,102150.4693
2009,Europe,327550.525
2009,Oceania,94866.41799999999
2010,Africa,55125.2632
2010,Americas,199881.8975
2010,Asia,107577.2633
2010,Europe,334927.213
2010,Oceania,95742.473
2011,Africa,56438.8544
2011,Americas,205562.016
2011,Asia,110537.375
2011,Europe,341073.832
2011,Oceania,96908.4863
2012,Africa,57342.527
2012,Americas,208788.00199999998
2012,Asia,113583.8063
2012,Europe,338531.58400000003
2012,Oceania,98693.993
2013,Africa,58322.2012
2013,Americas,212148.088
2013,Asia,117333.7338
2013,Europe,337831.853
2013,Oceania,100353.99549999999
2014,Africa,59073.4626
2014,Americas,214005.463
2014,Asia,120531.70869999999
2014,Europe,341278.934
2014,Oceania,102624.9758
2015,Africa,59821.734899999996
2015,Americas,215865.8075
2015,Asia,124313.7431
2015,Europe,346186.989
2015,Oceania,104274.45240000001
2016,Africa,60111.0436
2016,Americas,215720.801
2016,Asia,128132.25480000001
2016,Europe,350756.013
2016,Oceania,105838.9598
2017,Africa,61027.0119
2017,Americas,218206.733
2017,Asia,132472.336
2017,Europe,357791.06
2017,Oceania,107412.336
2018,Africa,61903.6419
2018,Americas,220645.55800000002
2018,Asia,136571.2378
2018,Europe,362479.338
2018,Oceania,109178.9825
2019,Africa,62681.9163
2019,Americas,221112.04499999998
2019,Asia,139742.3609
2019,Europe,367126.716
2019,Oceania,109882.98580000001
2020,Africa,60126.868
2020,Americas,206312.264
2020,Asia,137471.947
2020,Europe,343358.576
2020,Oceania,105407.3826
2021,Africa,62021.5884
2021,Americas,220553.102
2021,Asia,143525.5905
2021,Europe,364338.604
2021,Oceania,107668.61230000001
2022,Africa,63247.2995
2022,Americas,225976.00699999998
2022,Asia,148144.17799999999
2022,Europe,374035.365
2022,Oceania,112416.625
