Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0
Africa,,2010,58.608
Africa,,2011,59.2511
Africa,,2012,59.8106
Africa,,2013,60.2924
Africa,,2014,60.7463
Africa,,2015,61.1288
Africa,,2016,61.588
Africa,,2017,61.9858
Africa,,2018,62.3435
Africa,,2019,62.688
Africa,,2020,62.2342
Africa,,2021,61.6609
Americas,,2010,75.345955
Americas,,2011,75.78988
Americas,,2012,75.98362
Americas,,2013,76.15026
Americas,,2014,76.30933
Americas,,2015,76.299194
Americas,,2016,76.26651
Americas,,2017,76.35949
Americas,,2018,76.48758
Americas,,2019,76.66325
Americas,,2020,74.835236
Americas,,2021,74.189156
Asia,,2010,71.3472
Asia,,2011,71.6749
Asia,,2012,72.0416
Asia,,2013,72.3901
Asia,,2014,72.7841
Asia,,2015,73.1205
Asia,,2016,73.4446
Asia,,2017,73.681
Asia,,2018,73.9909
Asia,,2019,74.1876
Asia,,2020,73.7415
Asia,,2021,72.5321
Europe,,2010,76.5463
Europe,,2011,77.0825
Europe,,2012,77.253
Europe,,2013,77.5811
Europe,,2014,77.9223
Europe,,2015,77.9916
Europe,,2016,78.4272
Europe,,2017,78.6625
Europe,,2018,78.7879
Europe,,2019,79.1221
Europe,,2020,77.7401
Europe,,2021,77.0336
Oceania,,2010,77.361
Oceania,,2011,77.4843
Oceania,,2012,77.6902
Oceania,,2013,77.9574
Oceania,,2014,77.9842
Oceania,,2015,78.1624
Oceania,,2016,78.3537
Oceania,,2017,78.5432
Oceania,,2018,78.8271
Oceania,,2019,78.7485
Oceania,,2020,79.4958
Oceania,,2021,79.4444
